id,created_at,text,author_id,public_metrics,entities,source,referenced_tweets,in_reply_to_user_id
1565851885189431297,2022-09-02T23:59:16.000Z,"De que lo estarían defendiendo, de su impericia para darle seguridad a Cristina o de su complicidad?... https://t.co/K8jv86Dfrp",1908537031,"{'retweet_count': 3, 'reply_count': 1, 'like_count': 3, 'quote_count': 0}","{'urls': [{'start': 104, 'end': 127, 'url': 'https://t.co/K8jv86Dfrp', 'expanded_url': 'https://twitter.com/MillanG3/status/1565850281853820928', 'display_url': 'twitter.com/MillanG3/statu…'}], 'annotations': [{'start': 71, 'end': 78, 'probability': 0.9875, 'type': 'Person', 'normalized_text': 'Cristina'}]}",Twitter Web App,"[{'type': 'quoted', 'id': '1565850281853820928'}]",
1565851728616079376,2022-09-02T23:58:38.000Z,@Guadi_Pelosista La seguridad de Cristina https://t.co/w3I2acibp8,181013249,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 6, 'quote_count': 0}","{'urls': [{'start': 42, 'end': 65, 'url': 'https://t.co/w3I2acibp8', 'expanded_url': 'https://twitter.com/joosee_m/status/1565851728616079376/video/1', 'display_url': 'pic.twitter.com/w3I2acibp8', 'media_key': '7_1565851684013760512'}], 'mentions': [{'start': 0, 'end': 16, 'username': 'Guadi_Pelosista', 'id': '375223674'}], 'annotations': [{'start': 33, 'end': 40, 'probability': 0.9293, 'type': 'Person', 'normalized_text': 'Cristina'}]}",Twitter for Android,"[{'type': 'replied_to', 'id': '1565793615162626049'}]",375223674
1565851632797204480,2022-09-02T23:58:16.000Z,"""A mi me va a sobreseer la Historia, ustedes los va a  condenar la Historia""

Profética,  Cristina",236033203,"{'retweet_count': 10, 'reply_count': 1, 'like_count': 19, 'quote_count': 0}","{'annotations': [{'start': 90, 'end': 97, 'probability': 0.9597, 'type': 'Person', 'normalized_text': 'Cristina'}]}",Twitter for Android,,
1565851590950543361,2022-09-02T23:58:06.000Z,"Feriado, finde largo y no salgo ni a la esquina, ya parezco la bala de la Cristina...",1387469702927167494,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}","{'annotations': [{'start': 74, 'end': 81, 'probability': 0.4574, 'type': 'Person', 'normalized_text': 'Cristina'}]}",Twitter for Android,,
1565851533715148800,2022-09-02T23:57:52.000Z,"En estado de alerta y movilización para cuidar la Democracia, bancar a Cristina ❤ y no ceder los derechos conquistados ✌

@loto_liliana 💪 https://t.co/hyMaCwuFpE",868846147,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 9, 'quote_count': 0}","{'urls': [{'start': 138, 'end': 161, 'url': 'https://t.co/hyMaCwuFpE', 'expanded_url': 'https://twitter.com/RosenMartinez/status/1565851533715148800/photo/1', 'display_url': 'pic.twitter.com/hyMaCwuFpE', 'media_key': '3_1565851519399886848'}, {'start': 138, 'end': 161, 'url': 'https://t.co/hyMaCwuFpE', 'expanded_url': 'https://twitter.com/RosenMartinez/status/1565851533715148800/photo/1', 'display_url': 'pic.twitter.com/hyMaCwuFpE', 'media_key': '3_1565851523481051136'}, {'start': 138, 'end': 161, 'url': 'https://t.co/hyMaCwuFpE', 'expanded_url': 'https://twitter.com/RosenMartinez/status/1565851533715148800/photo/1', 'display_url': 'pic.twitter.com/hyMaCwuFpE', 'media_key': '3_1565851527826345985'}, {'start': 138, 'end': 161, 'url': 'https://t.co/hyMaCwuFpE', 'expanded_url': 'https://twitter.com/RosenMartinez/status/1565851533715148800/photo/1', 'display_url': 'pic.twitter.com/hyMaCwuFpE', 'media_key': '3_1565851531496267776'}], 'mentions': [{'start': 122, 'end': 135, 'username': 'loto_liliana', 'id': '940523326115598336'}], 'annotations': [{'start': 71, 'end': 78, 'probability': 0.9838, 'type': 'Person', 'normalized_text': 'Cristina'}]}",Twitter for Android,,
1565851505508360192,2022-09-02T23:57:45.000Z,"Nos reíamos de los memes que hacían con el COVID-19, imagínate si no nos vamos a reír de los memes que hicieron con el circo de Cristina 😂😂😂😂",334680209,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","{'annotations': [{'start': 128, 'end': 135, 'probability': 0.994, 'type': 'Person', 'normalized_text': 'Cristina'}]}",Twitter for Android,,
1565851259931955202,2022-09-02T23:56:47.000Z,"🔔🔔🔔TODO ARMADITO...QUE PAPELON...CRISTINA SEGUIA DANDO BESITOS Y FIRMANDO AUTOGRAFOS CUAN UNA GRAN ARTISTA...
DESPUES DEL ""GRAN 
ATENTADO"". https://t.co/r4vaiGY9h6",1427764331899461633,"{'retweet_count': 11, 'reply_count': 0, 'like_count': 18, 'quote_count': 0}","{'urls': [{'start': 140, 'end': 163, 'url': 'https://t.co/r4vaiGY9h6', 'expanded_url': 'https://twitter.com/NICOLAS71046251/status/1565851259931955202/photo/1', 'display_url': 'pic.twitter.com/r4vaiGY9h6', 'media_key': '3_1565851256270233600'}], 'annotations': [{'start': 36, 'end': 43, 'probability': 0.8853, 'type': 'Person', 'normalized_text': 'CRISTINA'}]}",Twitter for Android,,
1565850977831473152,2022-09-02T23:55:39.000Z,Cristina tiene más chamuyo que yo 😂,1233315523317960704,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'annotations': [{'start': 0, 'end': 7, 'probability': 0.9949, 'type': 'Person', 'normalized_text': 'Cristina'}]}",Twitter for Android,,
1565850475240603652,2022-09-02T23:53:40.000Z,"¿Son dos armas diferentes las del atentado a Cristina Fernández de Kirchner?
Fué todo una puesta en escena, fué una farsa, para atacar el sistema constitucional, con el asunto del ""discurso de odio"" quieren hacer lo mismo que en Venezuela #CFKGolpista https://t.co/Jjuzbou8sv",1279257788,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 252, 'end': 275, 'url': 'https://t.co/Jjuzbou8sv', 'expanded_url': 'https://weekend.perfil.com/noticias/armas-2/son-dos-armas-diferentes-las-del-atentado-a-cristina-fernandez-de-kirchner.phtml', 'display_url': 'weekend.perfil.com/noticias/armas…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1568681629920509954/t9T-LPCU?format=jpg&name=orig', 'width': 1280, 'height': 720}, {'url': 'https://pbs.twimg.com/news_img/1568681629920509954/t9T-LPCU?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': '¿Son dos armas diferentes las del atentado a Cristina Fernández de Kirchner?', 'description': 'Según las capturas de video no parecerían coincidir el arma utilizada en el atentado a la vicepresidenta con la ""descartada"" por el autor del hecho. Analizamos diferencias entre ambos posibles modelos.', 'unwound_url': 'https://weekend.perfil.com/noticias/armas-2/son-dos-armas-diferentes-las-del-atentado-a-cristina-fernandez-de-kirchner.phtml'}], 'annotations': [{'start': 45, 'end': 62, 'probability': 0.9744, 'type': 'Person', 'normalized_text': 'Cristina Fernández'}, {'start': 67, 'end': 74, 'probability': 0.5732, 'type': 'Person', 'normalized_text': 'Kirchner'}, {'start': 229, 'end': 237, 'probability': 0.9957, 'type': 'Place', 'normalized_text': 'Venezuela'}], 'hashtags': [{'start': 239, 'end': 251, 'tag': 'CFKGolpista'}]}",Twitter for Android,,
1565850053138325504,2022-09-02T23:51:59.000Z,"La culpable es Cristina, ya lo sabía! 🤌 https://t.co/jQasoRsgJL",1169735640,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","{'urls': [{'start': 40, 'end': 63, 'url': 'https://t.co/jQasoRsgJL', 'expanded_url': 'https://twitter.com/Riquelmont/status/1565722834361516046', 'display_url': 'twitter.com/Riquelmont/sta…'}], 'annotations': [{'start': 15, 'end': 22, 'probability': 0.9827, 'type': 'Person', 'normalized_text': 'Cristina'}]}",Twitter for Android,"[{'type': 'quoted', 'id': '1565722834361516046'}]",
